nodo_eliminado,Ng/N,eficiencia_global
0,0.984375,0.43748079877111234
2,0.953125,0.3998942358540434
6,0.921875,0.35347341486685596
9,0.890625,0.3357999282575553
24,0.875,0.320525683485942
15,0.609375,0.2382896897415972
17,0.578125,0.22183136412459856
16,0.53125,0.19679189857761312
21,0.5,0.18151034151034093
29,0.4375,0.1570180692822195
20,0.421875,0.15594546962471428
22,0.359375,0.1404043668749547
19,0.359375,0.14445191409897248
13,0.359375,0.13993197278911537
14,0.359375,0.13119331065759623
23,0.34375,0.1215805471124619
48,0.265625,0.09031760715386977
3,0.265625,0.09336553945249587
25,0.234375,0.08752525252525248
28,0.234375,0.08842494714587734
4,0.234375,0.09263565891472864
12,0.234375,0.09483159117305456
11,0.234375,0.0983536585365853
10,0.234375,0.10339743589743583
27,0.234375,0.10883940620782719
18,0.234375,0.09587482219061165
45,0.125,0.06331331331331332
5,0.078125,0.05238095238095238
49,0.078125,0.04873949579831933
35,0.078125,0.04188948306595366
7,0.078125,0.03977272727272727
30,0.0625,0.03125
50,0.046875,0.026881720430107527
51,0.046875,0.02413793103448276
52,0.046875,0.023399014778325122
40,0.046875,0.01984126984126984
46,0.046875,0.021367521367521368
58,0.046875,0.015384615384615385
43,0.046875,0.013333333333333334
39,0.046875,0.014492753623188406
55,0.03125,0.007905138339920948
54,0.03125,0.004329004329004329
8,0.03125,0.004761904761904762
26,0.03125,0.005263157894736842
56,0.03125,0.005847953216374269
44,0.03125,0.006535947712418301
57,0.03125,0.007352941176470588
1,0.03125,0.008333333333333333
31,0.03125,0.009523809523809525
33,0.03125,0.01098901098901099
62,0.015625,0.0
63,0.015625,0.0
60,0.015625,0.0
36,0.015625,0.0
38,0.015625,0.0
32,0.015625,0.0
53,0.015625,0.0
42,0.015625,0.0
41,0.015625,0.0
37,0.015625,0.0
34,0.015625,0.0
59,0.015625,0.0
47,0.0,0.0
61,0.0,0.0
